run_folder,case_label,problem_index,ground_truth,predicted,correct,status
first run,full_text + full_diagram,1,140°,80_deg,0,OK
first run,full_text + full_diagram,2,65°,50_deg,0,OK
first run,full_text + full_diagram,3,55°,35_deg,0,OK
first run,full_text + full_diagram,4,27°,90_deg,0,OK
first run,full_text + full_diagram,7,45°,25_deg,0,OK
first run,full_text + full_diagram,8,3cm,5.0,0,OK
first run,full_text + full_diagram,9,6cm,18_units,0,OK
first run,full_text + full_diagram,10,72°,90,0,OK
first run,full_text + full_diagram,11,84°,36_deg,0,OK
first run,full_text + full_diagram,14,55°,35_deg,0,OK
first run,full_text + full_diagram,16,25°,50,0,OK
first run,full_text + full_diagram,17,65°,88_deg,0,OK
first run,full_text + full_diagram,20,20°,40_deg,0,OK
first run,full_text + full_diagram,22,62°,28,0,OK
first run,full_text + full_diagram,25,65°,50_deg,0,OK
first run,full_text + full_diagram,26,12,22,0,OK
first run,full_text + full_diagram,29,115°,90,0,OK
first run,full_text + full_diagram,30,60°,insufficient information,0,OK
first run,full_text + full_diagram,32,76°,52,0,OK
first run,full_text + full_diagram,34,80°,100_deg,0,OK
first run,full_text + full_diagram,36,20°,25_deg,0,OK
first run,full_text + full_diagram,37,25°,50_deg,0,OK
first run,full_text + full_diagram,38,40°,70_deg,0,OK
first run,full_text + full_diagram,40,50°,50_deg,1,OK
first run,full_text + full_diagram,43,40°,50_deg,0,OK
first run,full_text + full_diagram,44,9m,25.0,0,OK
first run,full_text + full_diagram,45,70°,35_deg,0,OK
first run,full_text + full_diagram,46,110°,70_deg,0,OK
first run,full_text + full_diagram,48,130°,50,0,OK
first run,full_text + full_diagram,49,100°,35_deg,0,OK
first run,full_text + full_diagram,50,140°,90_deg,0,OK
first run,full_text + full_diagram,53,55°,55_deg,1,OK
first run,full_text + full_diagram,55,55°,140,0,OK
first run,full_text + full_diagram,56,40°,90_deg,0,OK
first run,full_text + full_diagram,57,20°,20_deg,1,OK
first run,full_text + full_diagram,58,55°,55,1,OK
first run,full_text + full_diagram,59,50°,80_deg,0,OK
first run,full_text + full_diagram,60,45°,135_deg,0,OK
first run,full_text + full_diagram,64,40cm,200_units,0,OK
first run,full_text + full_diagram,72,8cm,8,1,OK
first run,full_text + full_diagram,73,140°,70_deg,0,OK
first run,full_text + full_diagram,78,125°,70_deg,0,OK
first run,full_text + full_diagram,79,16cm,24,0,OK_AFTER_JSON_REPAIR
first run,full_text + full_diagram,81,25°,40_deg,0,OK
first run,full_text + full_diagram,84,√{3},AO,0,OK
first run,full_text + full_diagram,86,2√{3},2,0,OK
first run,full_text + full_diagram,88,128°,20_deg,0,OK
