run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-gemma,full_text + full_diagram,1,140°,120_deg,0,OK
run-1-gemma,full_text + full_diagram,2,65°,50_deg,0,OK
run-1-gemma,full_text + full_diagram,3,55°,35_deg,0,OK
run-1-gemma,full_text + full_diagram,4,27°,90°,0,OK
run-1-gemma,full_text + full_diagram,7,45°,35°,0,OK
run-1-gemma,full_text + full_diagram,8,3cm,5.0,0,OK
run-1-gemma,full_text + full_diagram,9,6cm,18.0,0,OK
run-1-gemma,full_text + full_diagram,10,72°,90_deg,0,OK
run-1-gemma,full_text + full_diagram,11,84°,84,1,OK
run-1-gemma,full_text + full_diagram,14,55°,35_deg,0,OK
run-1-gemma,full_text + full_diagram,16,25°,30_deg,0,OK
run-1-gemma,full_text + full_diagram,17,65°,42_deg,0,OK
run-1-gemma,full_text + full_diagram,20,20°,70°,0,OK
run-1-gemma,full_text + full_diagram,22,62°,28,0,OK
run-1-gemma,full_text + full_diagram,25,65°,50_deg,0,OK
run-1-gemma,full_text + full_diagram,26,12,22.0,0,OK
run-1-gemma,full_text + full_diagram,29,115°,50,0,OK
run-1-gemma,full_text + full_diagram,30,60°,30_deg,0,OK
run-1-gemma,full_text + full_diagram,32,76°,52,0,OK
run-1-gemma,full_text + full_diagram,34,80°,80°,1,OK
run-1-gemma,full_text + full_diagram,36,20°,25°,0,OK
run-1-gemma,full_text + full_diagram,37,25°,50,0,OK
run-1-gemma,full_text + full_diagram,38,40°,70,0,OK
run-1-gemma,full_text + full_diagram,40,50°,50_deg,1,OK
run-1-gemma,full_text + full_diagram,43,40°,30,0,OK
run-1-gemma,full_text + full_diagram,44,9m,1.5,0,OK
run-1-gemma,full_text + full_diagram,45,70°,70°,1,OK
run-1-gemma,full_text + full_diagram,46,110°,110_deg,1,OK
run-1-gemma,full_text + full_diagram,48,130°,50_deg,0,OK
run-1-gemma,full_text + full_diagram,49,100°,115_deg,0,OK
run-1-gemma,full_text + full_diagram,50,140°,40,0,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + full_diagram,53,55°,55_deg,1,OK
run-1-gemma,full_text + full_diagram,55,55°,35.0°,0,OK
run-1-gemma,full_text + full_diagram,56,40°,20_deg,0,OK
run-1-gemma,full_text + full_diagram,57,20°,20°,1,OK
run-1-gemma,full_text + full_diagram,58,55°,55°,1,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + full_diagram,59,50°,80,0,OK
run-1-gemma,full_text + full_diagram,60,45°,45°,1,OK
run-1-gemma,full_text + full_diagram,64,40cm,200,0,OK
run-1-gemma,full_text + full_diagram,72,8cm,8,1,OK
run-1-gemma,full_text + full_diagram,73,140°,140,1,OK
run-1-gemma,full_text + full_diagram,78,125°,70_deg,0,OK
run-1-gemma,full_text + full_diagram,79,16cm,16,1,OK
run-1-gemma,full_text + full_diagram,81,25°,45_deg,0,OK
run-1-gemma,full_text + full_diagram,84,√{3},1,0,OK
run-1-gemma,full_text + full_diagram,86,2√{3},2.0,0,OK
run-1-gemma,full_text + full_diagram,88,128°,80_deg,0,OK
run-1-gemma,full_text + full_diagram,95,30°,30_deg,1,OK
run-1-gemma,full_text + full_diagram,99,64°,26,0,OK
run-1-gemma,full_text + full_diagram,108,8m,8,1,OK
run-1-gemma,full_text + full_diagram,109,40°,40_deg,1,OK
run-1-gemma,full_text + full_diagram,112,2.4,2.5 - 0.7,0,OK
run-1-gemma,full_text + full_diagram,114,\frac{1}{2}cm^{2},π/3,0,OK
run-1-gemma,full_text + full_diagram,115,4πcm,12π,0,OK
run-1-gemma,full_text + full_diagram,117,2√{2}cm,not provided,0,OK
run-1-gemma,full_text + full_diagram,119,240cm^{2},96,0,OK
run-1-gemma,full_text + full_diagram,120,9πcm^{2},π * 9,0,OK
run-1-gemma,full_text + full_diagram,123,15π,12.0 * π,0,OK
run-1-gemma,full_text + full_diagram,128,4cm,6,0,OK
run-1-gemma,full_text + full_diagram,132,10.2m,0.6,0,OK
run-1-gemma,full_text + full_diagram,133,120m,80.0 m,0,OK
run-1-gemma,full_text + full_diagram,149,\frac{20}{3},4.0,0,OK
run-1-gemma,full_text + full_diagram,150,\frac{40}{7}m,9,0,OK
run-1-gemma,full_text + full_diagram,151,5.1,17_units,0,OK
run-1-gemma,full_text + full_diagram,152,4m,1.4,0,OK
run-1-gemma,full_text + full_diagram,153,1.5m,1.8,0,OK
run-1-gemma,full_text + full_diagram,157,\frac{3}{5},0.75,0,OK
run-1-gemma,full_text + full_diagram,165,\frac{√{3}}{2},0.5,0,OK
run-1-gemma,full_text + full_diagram,198,60,60,1,OK
run-1-gemma,full_text + full_diagram,207,157.1,20,0,OK
run-1-gemma,full_text + full_diagram,210,15,9,0,OK
run-1-gemma,full_text + full_diagram,211,38,33°,0,OK
run-1-gemma,full_text + full_diagram,223,\sqrt{7},3√2,0,OK
run-1-gemma,full_text + full_diagram,239,8,11,0,OK
run-1-gemma,full_text + full_diagram,243,1591,1760,0,OK
run-1-gemma,full_text + full_diagram,257,15,13,0,OK
run-1-gemma,full_text + full_diagram,264,60,100,0,OK
run-1-gemma,full_text + full_diagram,281,0.38,0.38,1,OK
run-1-gemma,full_text + full_diagram,327,11.8,5.4,0,OK
run-1-gemma,full_text + full_diagram,348,285,174,0,OK
run-1-gemma,full_text + full_diagram,364,74.85,65.90,0,OK
run-1-gemma,full_text + full_diagram,365,23.9,24.6,0,OK
run-1-gemma,full_text + full_diagram,420,8,6,0,OK
run-1-gemma,full_text + full_diagram,432,8.246,Cannot be determined,0,OK
run-1-gemma,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,,0,OK
run-1-gemma,full_text + full_diagram,441,$\frac{4}{5}$,5,0,OK
run-1-gemma,full_text + full_diagram,447,$\frac{20}{29}$,1,0,OK
run-1-gemma,full_text + full_diagram,449,$\frac{1}{x}$,2,0,OK
run-1-gemma,full_text + full_diagram,457,$(x-1)^{2}+(y-3)^{2}=36$,(x-h)^2 + (y-k)^2 = 36,0,OK
run-1-gemma,full_text + full_diagram,472,"(0,0)",B,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],1,140°,40°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],2,65°,50_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],3,55°,35,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],4,27°,18_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],7,45°,65°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],8,3cm,7.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],9,6cm,18.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],10,72°,54°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],11,84°,84,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],14,55°,35_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],16,25°,50_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],17,65°,65_deg,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],20,20°,20°,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],22,62°,90,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],25,65°,50,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],26,12,6.4,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],29,115°,50_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],30,60°,30_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],32,76°,52,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],34,80°,100_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],36,20°,50_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],37,25°,50_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],38,40°,70°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],40,50°,50_deg,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],43,40°,30,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],44,9m,1.5,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],45,70°,70,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],46,110°,70°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],48,130°,50°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],49,100°,,0,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + noisy_diagram[bg_change],50,140°,80_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],53,55°,∠BFD,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],55,55°,70,0,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + noisy_diagram[bg_change],56,40°,40_deg,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],57,20°,20_deg,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],58,55°,55°,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],59,50°,100,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],60,45°,135_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],64,40cm,200.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],72,8cm,6,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],73,140°,140_deg,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],78,125°,110,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],79,16cm,unknown,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],81,25°,45,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],84,√{3},1,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],86,2√{3},2.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],88,128°,80°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],95,30°,90_deg,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],99,64°,13.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],108,8m,8,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],109,40°,40°,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],112,2.4,10.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],114,\frac{1}{2}cm^{2},π/4,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],115,4πcm,12π units,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],117,2√{2}cm,3,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],119,240cm^{2},24,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],120,9πcm^{2},π * 3.0 * 3.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],123,15π,12.0 * π,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],128,4cm,6_units,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],132,10.2m,12.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],133,120m,80.0 m,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],149,\frac{20}{3},10.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],150,\frac{40}{7}m,?,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],151,5.1,1.7,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],152,4m,2.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],153,1.5m,1.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],157,\frac{3}{5},0.6,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],165,\frac{√{3}}{2},0.5,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],198,60,60,1,OK
run-1-gemma,full_text + noisy_diagram[bg_change],207,157.1,28.3,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],210,15,13,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],211,38,33°,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],223,\sqrt{7},4,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],239,8,5,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],243,1591,1766.0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],257,15,5,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],264,60,80,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],281,0.38,0.96,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],327,11.8,10.7,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],348,285,256,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],364,74.85,35.50,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],365,23.9,0.4,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],420,8,6 cm,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],432,8.246,5_units,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,(x+3)^2/25 - (y+3)^2/25 = 1,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],441,$\frac{4}{5}$,4/5,0,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + noisy_diagram[bg_change],447,$\frac{20}{29}$,0,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],449,$\frac{1}{x}$,1,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],457,$(x-1)^{2}+(y-3)^{2}=36$,(x-1)^2 + (y-3)^2 = 36,0,OK
run-1-gemma,full_text + noisy_diagram[bg_change],472,"(0,0)",O,0,OK
