run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-gemma,full_text + full_diagram,1,140°,unknown,0,OK
run-1-gemma,full_text + full_diagram,2,65°,50_deg,0,OK
run-1-gemma,full_text + full_diagram,3,55°,35 degrees,0,OK_AFTER_JSON_REPAIR
run-1-gemma,full_text + full_diagram,4,27°,The measure of angle C is unknown.,0,OK
run-1-gemma,full_text + full_diagram,7,45°,35°,0,OK
run-1-gemma,full_text + full_diagram,8,3cm,EC,0,OK
run-1-gemma,full_text + full_diagram,9,6cm,12,0,OK
run-1-gemma,full_text + full_diagram,10,72°,90_deg,0,OK
run-1-gemma,full_text + full_diagram,11,84°,Unknown,0,OK
run-1-gemma,full_text + full_diagram,14,55°,The degree of angle ACB is unknown.,0,OK
run-1-gemma,full_text + full_diagram,16,25°,30_deg,0,OK
run-1-gemma,full_text + full_diagram,17,65°,23_deg,0,OK
run-1-gemma,full_text + full_diagram,20,20°,140°,0,OK
run-1-gemma,full_text + full_diagram,22,62°,28 degrees,0,OK
run-1-gemma,full_text + full_diagram,25,65°,50_deg,0,OK
run-1-gemma,full_text + full_diagram,26,12,22m,0,OK
run-1-gemma,full_text + full_diagram,29,115°,The degree of angle BDC is not explicitly stated in the provided triples.,0,OK
run-1-gemma,full_text + full_diagram,30,60°,30_deg,0,OK
run-1-gemma,full_text + full_diagram,32,76°,52_deg,0,OK
run-1-gemma,full_text + full_diagram,34,80°,The measure of angle 2 is unknown.,0,OK
run-1-gemma,full_text + full_diagram,36,20°,The measure of BAC is not provided in the given triples.,0,OK
run-1-gemma,full_text + full_diagram,37,25°,50 degrees,0,OK
run-1-gemma,full_text + full_diagram,38,40°,unknown,0,OK
run-1-gemma,full_text + full_diagram,40,50°,50 degrees,1,OK
run-1-gemma,full_text + full_diagram,43,40°,DOB,0,OK
run-1-gemma,full_text + full_diagram,44,9m,1.5,0,OK
run-1-gemma,full_text + full_diagram,45,70°,35 degrees,0,OK
run-1-gemma,full_text + full_diagram,46,110°,70_deg,0,OK
run-1-gemma,full_text + full_diagram,48,130°,100 degrees,0,OK
run-1-gemma,full_text + full_diagram,49,100°,115_deg,0,OK
run-1-gemma,full_text + full_diagram,50,140°,unknown,0,OK
run-1-gemma,full_text + full_diagram,53,55°,BFD,0,OK
