model,run_id,run_folder,case_label,problem_index,ground_truth,predicted,correct,status
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,1,140°,80,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,2,65°,50,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,3,55°,75,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,4,27°,96,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,7,45°,45,1,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,8,3cm,7.0,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,9,6cm,9,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,10,72°,90,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,11,84°,36,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,14,55°,70,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,16,25°,25,1,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,17,65°,115,0,OK_AFTER_JSON_REPAIR
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,20,20°,40,0,OK
google/gemma-3-4b-it,run-1,Dataset_split\diagrams\Setting_1&2\FTFD,full_text + full_diagram,22,62°,28,0,OK
