kind,model,run,case_label,total,correct,wrong,accuracy_pct,wrong_pct,runs_count,avg_accuracy_pct,min_accuracy_pct,max_accuracy_pct,accuracy_spread_pct,best_run,best_run_accuracy_pct,worst_run,worst_run_accuracy_pct
OVERALL,,,,810,289,521,35.679,64.321,,,,,,,,,
MODEL,google/gemma-3-4b-it,,,270,79,191,29.259,70.741,,,,,,,,,
MODEL,meta-llama/llama-4-scout,,,270,139,131,51.481,48.519,,,,,,,,,
MODEL,mistralai/mistral-small-3.2-24b-instruct,,,270,71,199,26.296,73.704,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-1,,90,25,65,27.778,72.222,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-2,,90,27,63,30.0,70.0,,,,,,,,,
MODEL_RUN,google/gemma-3-4b-it,run-3,,90,27,63,30.0,70.0,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-1,,90,47,43,52.222,47.778,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-2,,90,45,45,50.0,50.0,,,,,,,,,
MODEL_RUN,meta-llama/llama-4-scout,run-3,,90,47,43,52.222,47.778,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-1,,90,22,68,24.444,75.556,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-2,,90,25,65,27.778,72.222,,,,,,,,,
MODEL_RUN,mistralai/mistral-small-3.2-24b-instruct,run-3,,90,24,66,26.667,73.333,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + full_diagram,90,25,65,27.778,72.222,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,half_text + half_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[numeric] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[punctuation] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[sentence] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,noisy_text[typo] + full_diagram,0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[bg_change],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[blur],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[illumination],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[irr_objects],0,0,0,0.0,0.0,,,,,,,,,
MODEL_RUN_CASE,google/gemma-3-4b-it,run-1,full_text + noisy_diagram[pixel_noise],0,0,0,0.0,0.0,,,,,,,,,
