run_folder,case_label,problem_index,ground_truth,predicted,correct,status
run-1-llama,full_text + full_diagram,1,140°,20_deg,0,OK
run-1-llama,full_text + full_diagram,2,65°,50_deg,0,OK
run-1-llama,full_text + full_diagram,3,55°,55_deg,1,OK
run-1-llama,full_text + full_diagram,4,27°,72_deg,0,OK
run-1-llama,full_text + full_diagram,7,45°,35_deg,0,OK
run-1-llama,full_text + full_diagram,8,3cm,5.0,0,OK
run-1-llama,full_text + full_diagram,9,6cm,15.0,0,OK
run-1-llama,full_text + full_diagram,10,72°,90_deg,0,OK
run-1-llama,full_text + full_diagram,11,84°,60,0,OK
run-1-llama,full_text + full_diagram,14,55°,35,0,OK
run-1-llama,full_text + full_diagram,16,25°,25_deg,1,OK
run-1-llama,full_text + full_diagram,17,65°,65_deg,1,OK
run-1-llama,full_text + full_diagram,20,20°,20_deg,1,OK
run-1-llama,full_text + full_diagram,22,62°,28_deg,0,OK
run-1-llama,full_text + full_diagram,25,65°,50_deg,0,OK
run-1-llama,full_text + full_diagram,26,12,8,0,OK
run-1-llama,full_text + full_diagram,29,115°,90_deg,0,OK
run-1-llama,full_text + full_diagram,30,60°,60_deg,1,OK
run-1-llama,full_text + full_diagram,32,76°,52,0,OK
run-1-llama,full_text + full_diagram,34,80°,100_deg,0,OK
run-1-llama,full_text + full_diagram,36,20°,40_deg,0,OK
run-1-llama,full_text + full_diagram,37,25°,50,0,OK
run-1-llama,full_text + full_diagram,38,40°,40,1,OK
run-1-llama,full_text + full_diagram,40,50°,50_deg,1,OK
run-1-llama,full_text + full_diagram,43,40°,70_deg,0,OK
run-1-llama,full_text + full_diagram,44,9m,25_units,0,OK
run-1-llama,full_text + full_diagram,45,70°,70_deg,1,OK
run-1-llama,full_text + full_diagram,46,110°,70_deg,0,OK
run-1-llama,full_text + full_diagram,48,130°,50_deg,0,OK
run-1-llama,full_text + full_diagram,49,100°,80,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,50,140°,40,0,OK
run-1-llama,full_text + full_diagram,53,55°,55_deg,1,OK
run-1-llama,full_text + full_diagram,55,55°,70_deg,0,OK
run-1-llama,full_text + full_diagram,56,40°,20,0,OK
run-1-llama,full_text + full_diagram,57,20°,160,0,OK
run-1-llama,full_text + full_diagram,58,55°,55_deg,1,OK
run-1-llama,full_text + full_diagram,59,50°,80,0,OK
run-1-llama,full_text + full_diagram,60,45°,45_deg,1,OK
run-1-llama,full_text + full_diagram,64,40cm,100_units,0,OK
run-1-llama,full_text + full_diagram,72,8cm,8,1,OK
run-1-llama,full_text + full_diagram,73,140°,120,0,OK
run-1-llama,full_text + full_diagram,78,125°,70_deg,0,OK
run-1-llama,full_text + full_diagram,79,16cm,32,0,OK
run-1-llama,full_text + full_diagram,81,25°,20_deg,0,OK
run-1-llama,full_text + full_diagram,84,√{3},1.0,0,OK
run-1-llama,full_text + full_diagram,86,2√{3},2_units,0,OK
run-1-llama,full_text + full_diagram,88,128°,64,0,OK
run-1-llama,full_text + full_diagram,95,30°,30_deg,1,OK
run-1-llama,full_text + full_diagram,99,64°,90_deg,0,OK
run-1-llama,full_text + full_diagram,108,8m,6_units,0,OK
run-1-llama,full_text + full_diagram,109,40°,40_deg,1,OK
run-1-llama,full_text + full_diagram,112,2.4,2.4_units,1,OK
run-1-llama,full_text + full_diagram,114,\frac{1}{2}cm^{2},0.25,0,OK
run-1-llama,full_text + full_diagram,115,4πcm,circle,0,OK
run-1-llama,full_text + full_diagram,117,2√{2}cm,?,0,OK
run-1-llama,full_text + full_diagram,119,240cm^{2},240,1,OK
run-1-llama,full_text + full_diagram,120,9πcm^{2},25π,0,OK
run-1-llama,full_text + full_diagram,123,15π,12π,0,OK
run-1-llama,full_text + full_diagram,128,4cm,12_units,0,OK
run-1-llama,full_text + full_diagram,132,10.2m,12.0_units,0,OK
run-1-llama,full_text + full_diagram,133,120m,80.0_m,0,OK
run-1-llama,full_text + full_diagram,149,\frac{20}{3},6,0,OK
run-1-llama,full_text + full_diagram,150,\frac{40}{7}m,BC = sqrt( (7/3)^2 + 9^2 ),0,OK
run-1-llama,full_text + full_diagram,151,5.1,6.8,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,152,4m,No answer,0,OK
run-1-llama,full_text + full_diagram,153,1.5m,Cannot determine,0,OK
run-1-llama,full_text + full_diagram,157,\frac{3}{5},3/5,1,OK
run-1-llama,full_text + full_diagram,165,\frac{√{3}}{2},0.5,0,OK
run-1-llama,full_text + full_diagram,198,60,65,0,OK
run-1-llama,full_text + full_diagram,207,157.1,14.3,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,210,15,20_units,0,OK
run-1-llama,full_text + full_diagram,211,38,38,1,OK
run-1-llama,full_text + full_diagram,223,\sqrt{7},5,0,OK
run-1-llama,full_text + full_diagram,239,8,11_units,0,OK
run-1-llama,full_text + full_diagram,243,1591,1746,0,OK
run-1-llama,full_text + full_diagram,257,15,20_units,0,OK
run-1-llama,full_text + full_diagram,264,60,100,0,OK
run-1-llama,full_text + full_diagram,281,0.38,0.96,0,OK
run-1-llama,full_text + full_diagram,327,11.8,10.7,0,OK
run-1-llama,full_text + full_diagram,348,285,198,0,OK
run-1-llama,full_text + full_diagram,364,74.85,59.03,0,OK_AFTER_JSON_REPAIR
run-1-llama,full_text + full_diagram,365,23.9,10.0,0,OK
run-1-llama,full_text + full_diagram,420,8,6_cm,0,OK
run-1-llama,full_text + full_diagram,432,8.246,√((-3 - 5)^2 + (4 - 2)^2) = √(64 + 4) = √68,0,OK
run-1-llama,full_text + full_diagram,438,\frac{(x+3)^2}{25}-\frac{(y+3)^2}{25}=1,(x+3)^2/25 - (y+3)^2/50 = 1,0,OK
run-1-llama,full_text + full_diagram,441,$\frac{4}{5}$,y,0,OK
run-1-llama,full_text + full_diagram,447,$\frac{20}{29}$,20/29,1,OK
