model,run,setting_tag,detail_file,total_problems,total_aps,judged_aps,correct_aps,parse_error_problems,total_triples_used_all_aps,total_triples_used_correct_aps,Ct_all_aps,Ct_judged_aps,Ct_correct_aps,entries_reparsed_from_raw_response
Llama,run-1-llama,FTFD,results_FTFD_APS_detail.json,90,378,378,314,0,412,403,1.0899,1.0899,1.2834,90
Llama,run-1-llama,FTNDBGC,results_FTNDBGC_APS_detail.json,90,378,379,305,0,394,384,1.0423,1.0396,1.259,90
Llama,run-1-llama,FTNDBLUR,results_FTNDBLUR_APS_detail.json,90,378,374,309,0,435,427,1.1508,1.1631,1.3819,90
Llama,run-1-llama,FTNDILL,results_FTNDILL_APS_detail.json,90,378,373,311,0,436,430,1.1534,1.1689,1.3826,90
Llama,run-1-llama,FTNDIRR,results_FTNDIRR_APS_detail.json,90,378,378,314,0,403,401,1.0661,1.0661,1.2771,90
Llama,run-1-llama,FTNDPN,results_FTNDPN_APS_detail.json,90,378,378,303,0,396,387,1.0476,1.0476,1.2772,90
Llama,run-1-llama,HTHD,results_HTHD_APS_detail.json,90,378,378,292,0,390,377,1.0317,1.0317,1.2911,90
Llama,run-1-llama,HTNHBGC,results_HTNHBGC_APS_detail.json,90,378,376,296,0,407,401,1.0767,1.0824,1.3547,90
Llama,run-1-llama,HTNHBLUR,results_HTNHBLUR_APS_detail.json,90,378,379,278,0,378,373,1.0,0.9974,1.3417,90
Llama,run-1-llama,HTNHILL,results_HTNHILL_APS_detail.json,90,378,378,301,0,391,384,1.0344,1.0344,1.2757,90
Llama,run-1-llama,HTNHIRR,results_HTNHIRR_APS_detail.json,90,378,378,282,0,351,342,0.9286,0.9286,1.2128,90
Llama,run-1-llama,HTNHPN,results_HTNHPN_APS_detail.json,90,378,379,295,0,399,385,1.0556,1.0528,1.3051,90
Llama,run-1-llama,NHTNHD,results_NHTNHD_APS_detail.json,90,378,378,297,0,398,390,1.0529,1.0529,1.3131,90
Llama,run-1-llama,NHTPHD,results_NHTPHD_APS_detail.json,90,378,378,280,0,391,377,1.0344,1.0344,1.3464,90
Llama,run-1-llama,NHTSHD,results_NHTSHD_APS_detail.json,90,378,378,281,0,386,369,1.0212,1.0212,1.3132,90
Llama,run-1-llama,NHTTHD,results_NHTTHD_APS_detail.json,90,378,378,288,0,399,387,1.0556,1.0556,1.3438,90
Llama,run-1-llama,NTNFD,results_NTNFD_APS_detail.json,90,378,378,329,0,455,446,1.2037,1.2037,1.3556,90
Llama,run-1-llama,NTPFD,results_NTPFD_APS_detail.json,90,378,379,335,0,474,469,1.254,1.2507,1.4,90
Llama,run-1-llama,NTSFD,results_NTSFD_APS_detail.json,90,378,374,304,0,420,413,1.1111,1.123,1.3586,90
Llama,run-1-llama,NTTFD,results_NTTFD_APS_detail.json,90,378,378,306,0,423,419,1.119,1.119,1.3693,90


