problem_index,case_id,case_label,status,subject,predicate,object
1,6,full_text + noisy_diagram[bg_change],OK,A,is_a,point
1,6,full_text + noisy_diagram[bg_change],OK,B,is_a,point
1,6,full_text + noisy_diagram[bg_change],OK,C,is_a,point
1,6,full_text + noisy_diagram[bg_change],OK,D,is_a,point
1,6,full_text + noisy_diagram[bg_change],OK,E,is_a,point
1,6,full_text + noisy_diagram[bg_change],OK,∠AOB,is_a,angle
1,6,full_text + noisy_diagram[bg_change],OK,∠A,has_measure,80°
1,6,full_text + noisy_diagram[bg_change],OK,∠B,has_measure,60°
1,6,full_text + noisy_diagram[bg_change],OK,∠D,has_measure,60°
1,6,full_text + noisy_diagram[bg_change],OK,AB,lies_on,BC
1,6,full_text + noisy_diagram[bg_change],OK,DE,is_a,segment
1,6,full_text + noisy_diagram[bg_change],OK,BC,is_a,segment
1,6,full_text + noisy_diagram[bg_change],OK,DE,parallel_to,BC
1,6,full_text + noisy_diagram[bg_change],OK,∠CED,has_measure,?
,,,,,,
2,6,full_text + noisy_diagram[bg_change],OK,A,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,E,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,B,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,C,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,D,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,G,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,F,is_a,point
2,6,full_text + noisy_diagram[bg_change],OK,AB,is_a,segment
2,6,full_text + noisy_diagram[bg_change],OK,CD,is_a,segment
2,6,full_text + noisy_diagram[bg_change],OK,EF,is_a,segment
2,6,full_text + noisy_diagram[bg_change],OK,EG,is_a,segment
2,6,full_text + noisy_diagram[bg_change],OK,∠EFG,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠BEF,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠A,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠B,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠C,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠D,is_a,angle
2,6,full_text + noisy_diagram[bg_change],OK,∠EFG,has_measure,50_deg
2,6,full_text + noisy_diagram[bg_change],OK,AB,parallel_to,CD
2,6,full_text + noisy_diagram[bg_change],OK,EF,intersects,AB
2,6,full_text + noisy_diagram[bg_change],OK,EF,intersects,CD
2,6,full_text + noisy_diagram[bg_change],OK,EG,bisects,∠BEF
,,,,,,
3,6,full_text + noisy_diagram[bg_change],OK,B,is_a,point
3,6,full_text + noisy_diagram[bg_change],OK,A,is_a,point
3,6,full_text + noisy_diagram[bg_change],OK,C,is_a,point
3,6,full_text + noisy_diagram[bg_change],OK,D,is_a,point
3,6,full_text + noisy_diagram[bg_change],OK,AB,is_a,segment
3,6,full_text + noisy_diagram[bg_change],OK,BC,is_a,segment
3,6,full_text + noisy_diagram[bg_change],OK,BD,is_a,segment
3,6,full_text + noisy_diagram[bg_change],OK,∠ABC,has_measure,70_deg
3,6,full_text + noisy_diagram[bg_change],OK,CD,parallel_to,AB
3,6,full_text + noisy_diagram[bg_change],OK,∠BCD,has_measure,70_deg
3,6,full_text + noisy_diagram[bg_change],OK,∠BDC,has_measure,?
3,6,full_text + noisy_diagram[bg_change],OK,∠ABD,has_measure,?
3,6,full_text + noisy_diagram[bg_change],OK,∠ABC,is_a,angle
3,6,full_text + noisy_diagram[bg_change],OK,∠BCD,is_a,angle
3,6,full_text + noisy_diagram[bg_change],OK,∠BAC,is_a,angle
3,6,full_text + noisy_diagram[bg_change],OK,∠ABC,intersects,AB
3,6,full_text + noisy_diagram[bg_change],OK,BC,intersects,AB
,,,,,,
4,6,full_text + noisy_diagram[bg_change],OK,A,is_a,point
4,6,full_text + noisy_diagram[bg_change],OK,C,is_a,point
4,6,full_text + noisy_diagram[bg_change],OK,O,is_a,point
4,6,full_text + noisy_diagram[bg_change],OK,AB,is_a,segment
4,6,full_text + noisy_diagram[bg_change],OK,∠AOB,is_a,angle
4,6,full_text + noisy_diagram[bg_change],OK,∠A,has_measure,36°
4,6,full_text + noisy_diagram[bg_change],OK,∠C,has_measure,?
4,6,full_text + noisy_diagram[bg_change],OK,O,center_of,circle_O
4,6,full_text + noisy_diagram[bg_change],OK,AB,tangent_to,circle_O
4,6,full_text + noisy_diagram[bg_change],OK,AO,intersects,circle_O
4,6,full_text + noisy_diagram[bg_change],OK,BC,is_a,segment
4,6,full_text + noisy_diagram[bg_change],OK,∠C,intersects,AB
,,,,,,
7,6,full_text + noisy_diagram[bg_change],OK,B,has_measure,70°
7,6,full_text + noisy_diagram[bg_change],OK,C,has_measure,30°
7,6,full_text + noisy_diagram[bg_change],OK,DAC,has_measure,35°
7,6,full_text + noisy_diagram[bg_change],OK,∠AOB,is_a,angle
7,6,full_text + noisy_diagram[bg_change],OK,A,is_a,point
